# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 22 22:24:17 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_rah:         RA [hrs]
#
rowid	pl_hostname	pl_letter	pl_discmethod	pl_pnum	ra_str	ra	dec_str	dec	st_rah
244	HD 111232	b	Radial Velocity	1	12h48m51.75s	192.215637	-68d25m30.5s	-68.425148	12.81437581
245	HD 113337	b	Radial Velocity	1	13h01m46.93s	195.445526	+63d36m36.8s	63.610226	13.02970174
246	HD 113538	b	Radial Velocity	2	13h04m57.48s	196.239487	-52d26m34.5s	-52.442924	13.08263245
247	HD 113538	c	Radial Velocity	2	13h04m57.48s	196.239487	-52d26m34.5s	-52.442924	13.08263245
248	HD 114386	b	Radial Velocity	1	13h10m39.82s	197.665924	-35d03m17.2s	-35.054783	13.17772827
249	HD 114613	b	Radial Velocity	1	13h12m03.19s	198.013275	-37d48m10.9s	-37.803020	13.20088501
250	HD 114729	b	Radial Velocity	1	13h12m44.26s	198.184402	-31d52m24.1s	-31.873348	13.21229350
251	HD 114762	b	Radial Velocity	1	13h12m19.74s	198.082260	+17d31m01.6s	17.517122	13.20548401
252	HD 114783	b	Radial Velocity	1	13h12m43.78s	198.182434	-02d15m54.1s	-2.265040	13.21216227
253	HD 11506	b	Radial Velocity	2	01h52m50.53s	28.210558	-19d30m25.1s	-19.506975	1.88070386
254	HD 11506	c	Radial Velocity	2	01h52m50.53s	28.210558	-19d30m25.1s	-19.506975	1.88070386
255	HD 116029	b	Radial Velocity	1	13h20m39.54s	200.164764	+24d38m55.3s	24.648699	13.34431763
256	HD 117207	b	Radial Velocity	1	13h29m21.11s	202.337967	-35d34m15.6s	-35.570995	13.48919779
257	HD 11755	b	Radial Velocity	1	01h58m50.09s	29.708696	+73d09m08.6s	73.152382	1.98057976
258	HD 117618	b	Radial Velocity	1	13h32m25.55s	203.106476	-47d16m16.9s	-47.271362	13.54043172
259	HD 118203	b	Radial Velocity	1	13h34m02.54s	203.510574	+53d43m42.7s	53.728531	13.56737162
260	HD 11964	b	Radial Velocity	2	01h57m09.61s	29.290026	-10d14m32.7s	-10.242428	1.95266838
261	HD 11964	c	Radial Velocity	2	01h57m09.61s	29.290026	-10d14m32.7s	-10.242428	1.95266838
262	HD 11977	b	Radial Velocity	1	01h54m56.13s	28.733881	-67d38m50.3s	-67.647301	1.91559207
263	HD 120084	b	Radial Velocity	1	13h42m39.20s	205.663345	+78d03m52.0s	78.064438	13.71088969
264	HD 121504	b	Radial Velocity	1	13h57m17.24s	209.321823	-56d02m24.2s	-56.040043	13.95478821
265	HD 12484	b	Radial Velocity	1	02h02m26.73s	30.611374	+02d48m57.1s	2.815859	2.04075826
266	HD 125595	b	Radial Velocity	1	14h21m23.18s	215.346603	-40d23m38.2s	-40.393948	14.35644023
267	HD 125612	b	Radial Velocity	3	14h20m53.51s	215.222977	-17d28m53.5s	-17.481522	14.34819845
268	HD 125612	c	Radial Velocity	3	14h20m53.51s	215.222977	-17d28m53.5s	-17.481522	14.34819845
269	HD 125612	d	Radial Velocity	3	14h20m53.51s	215.222977	-17d28m53.5s	-17.481522	14.34819845
270	HD 12648	b	Radial Velocity	1	02h18m59.68s	34.748653	+85d44m10.1s	85.736153	2.31657689
271	HD 12661	b	Radial Velocity	2	02h04m34.29s	31.142866	+25d24m51.5s	25.414305	2.07619108
272	HD 12661	c	Radial Velocity	2	02h04m34.29s	31.142866	+25d24m51.5s	25.414305	2.07619108
273	HD 126614	b	Radial Velocity	1	14h26m48.28s	216.701172	-05d10m40.0s	-5.177780	14.44674479
274	HD 128311	b	Radial Velocity	2	14h36m00.56s	219.002335	+09d44m47.5s	9.746518	14.60015564
275	HD 128311	c	Radial Velocity	2	14h36m00.56s	219.002335	+09d44m47.5s	9.746518	14.60015564
276	HD 129445	b	Radial Velocity	1	14h46m03.07s	221.512772	-68d45m45.9s	-68.762749	14.76751811
277	HD 130322	b	Radial Velocity	1	14h47m32.73s	221.886368	-00d16m53.3s	-0.281476	14.79242452
278	HD 131496	b	Radial Velocity	1	14h53m23.03s	223.345947	+18d14m07.4s	18.235401	14.88972982
279	HD 131664	b	Radial Velocity	1	15h00m06.08s	225.025314	-73d32m07.2s	-73.535339	15.00168762
280	HD 13189	b	Radial Velocity	1	02h09m40.17s	32.417381	+32d18m59.2s	32.316437	2.16115875
281	HD 132406	b	Radial Velocity	1	14h56m54.65s	224.227707	+53d22m55.8s	53.382168	14.94851379
282	HD 132563	b	Radial Velocity	1	14h58m21.52s	224.589661	+44d02m35.3s	44.043148	14.97264404
283	HD 134987	b	Radial Velocity	2	15h13m28.67s	228.369446	-25d18m33.6s	-25.309347	15.22462972
284	HD 134987	c	Radial Velocity	2	15h13m28.67s	228.369446	-25d18m33.6s	-25.309347	15.22462972
285	HD 136418	b	Radial Velocity	1	15h19m06.18s	229.775757	+41d43m59.5s	41.733208	15.31838379
286	HD 137388 A	b	Radial Velocity	1	15h35m39.93s	233.916367	-80d12m16.5s	-80.204590	15.59442444
287	HD 13908	b	Radial Velocity	2	02h18m14.56s	34.560665	+65d35m39.7s	65.594360	2.30404434
288	HD 13908	c	Radial Velocity	2	02h18m14.56s	34.560665	+65d35m39.7s	65.594360	2.30404434
289	HD 13931	b	Radial Velocity	1	02h16m47.38s	34.197414	+43d46m22.8s	43.772995	2.27982763
290	HD 139357	b	Radial Velocity	1	15h35m16.20s	233.817490	+53d55m19.7s	53.922142	15.58783264
291	HD 14067	b	Radial Velocity	1	02h17m10.44s	34.293499	+23d46m04.2s	23.767832	2.28623327
292	HD 141399	b	Radial Velocity	4	15h46m53.81s	236.724228	+46d59m10.5s	46.986263	15.78161519
293	HD 141399	c	Radial Velocity	4	15h46m53.81s	236.724228	+46d59m10.5s	46.986263	15.78161519
294	HD 141399	d	Radial Velocity	4	15h46m53.81s	236.724228	+46d59m10.5s	46.986263	15.78161519
295	HD 141399	e	Radial Velocity	4	15h46m53.81s	236.724228	+46d59m10.5s	46.986263	15.78161519
296	HD 141937	b	Radial Velocity	1	15h52m17.55s	238.073120	-18d26m09.8s	-18.436066	15.87154134
297	HD 142	b	Radial Velocity	2	00h06m19.18s	1.579898	-49d04m30.7s	-49.075191	0.10532651
298	HD 142	c	Radial Velocity	2	00h06m19.18s	1.579898	-49d04m30.7s	-49.075191	0.10532651
299	HD 142022 A	b	Radial Velocity	1	16h10m15.02s	242.562592	-84d13m53.8s	-84.231613	16.17083944
300	HD 142245	b	Radial Velocity	1	15h52m56.28s	238.234497	+15d25m50.5s	15.430708	15.88229980
301	HD 142415	b	Radial Velocity	1	15h57m40.79s	239.419968	-60d12m00.9s	-60.200256	15.96133118
302	HD 143105	b	Radial Velocity	1	15h53m36.56s	238.402328	+68d43m12.4s	68.720116	15.89348857
303	HD 143361	b	Radial Velocity	1	16h01m50.35s	240.459778	-44d26m04.3s	-44.434536	16.03065186
304	HD 145377	b	Radial Velocity	1	16h11m36.45s	242.901855	-27d04m41.4s	-27.078173	16.19345703
305	HD 145457	b	Radial Velocity	1	16h10m03.91s	242.516312	+26d44m33.9s	26.742750	16.16775411
306	HD 145934	b	Radial Velocity	1	16h13m09.87s	243.291140	+13d14m22.1s	13.239476	16.21940933
307	HD 1461	b	Radial Velocity	2	00h18m41.87s	4.674448	-08d03m10.8s	-8.053001	0.31162990
308	HD 1461	c	Radial Velocity	2	00h18m41.87s	4.674448	-08d03m10.8s	-8.053001	0.31162990
309	HD 147018	b	Radial Velocity	2	16h23m00.15s	245.750610	-61d41m19.5s	-61.688763	16.38337402
310	HD 147018	c	Radial Velocity	2	16h23m00.15s	245.750610	-61d41m19.5s	-61.688763	16.38337402
311	HD 147513	b	Radial Velocity	1	16h24m01.29s	246.005371	-39d11m34.7s	-39.192982	16.40035807
312	HD 148156	b	Radial Velocity	1	16h28m17.28s	247.072006	-46d19m03.4s	-46.317623	16.47146708
313	HD 148427	b	Radial Velocity	1	16h28m28.15s	247.117294	-13d23m58.7s	-13.399640	16.47448629
314	HD 149026	b	Radial Velocity	1	16h30m29.62s	247.623413	+38d20m50.3s	38.347309	16.50822754
315	HD 149143	b	Radial Velocity	1	16h32m51.05s	248.212708	+02d05m05.4s	2.084832	16.54751383
316	HD 1502	b	Radial Velocity	1	00h19m17.07s	4.821110	+14d03m17.1s	14.054755	0.32140732
317	HD 150706	b	Radial Velocity	1	16h31m17.59s	247.823273	+79d47m23.2s	79.789772	16.52155151
318	HD 152079	b	Radial Velocity	1	16h53m29.74s	253.373901	-46d19m58.6s	-46.332958	16.89159342
319	HD 152581	b	Radial Velocity	1	16h53m43.58s	253.431595	+11d58m25.5s	11.973746	16.89543966
320	HD 153950	b	Radial Velocity	1	17h04m30.87s	256.128632	-43d18m35.2s	-43.309769	17.07524211
321	HD 154345	b	Radial Velocity	1	17h02m36.41s	255.651688	+47d04m54.8s	47.081882	17.04344584
322	HD 154672	b	Radial Velocity	1	17h10m04.91s	257.520477	-56d26m57.4s	-56.449268	17.16803182
323	HD 154857	b	Radial Velocity	2	17h11m15.73s	257.815521	-56d40m50.9s	-56.680798	17.18770142
324	HD 154857	c	Radial Velocity	2	17h11m15.73s	257.815521	-56d40m50.9s	-56.680798	17.18770142
325	HD 155233	b	Radial Velocity	1	17h11m04.37s	257.768188	-20d39m16.5s	-20.654570	17.18454590
326	HD 155358	b	Radial Velocity	2	17h09m34.61s	257.394226	+33d21m21.1s	33.355854	17.15961507
327	HD 155358	c	Radial Velocity	2	17h09m34.61s	257.394226	+33d21m21.1s	33.355854	17.15961507
328	HD 156279	b	Radial Velocity	1	17h12m23.20s	258.096680	+63d21m07.5s	63.352093	17.20644531
329	HD 156411	b	Radial Velocity	1	17h19m51.40s	259.964172	-48d32m57.6s	-48.549320	17.33094482
330	HD 156668	b	Radial Velocity	1	17h17m40.49s	259.418701	+29d13m38.0s	29.227226	17.29458008
331	HD 156846	b	Radial Velocity	1	17h20m34.31s	260.142944	-19d20m01.5s	-19.333746	17.34286296
332	HD 158038	b	Radial Velocity	1	17h25m45.43s	261.439301	+27d18m12.0s	27.303341	17.42928670
333	HD 159243	b	Radial Velocity	2	17h33m21.55s	263.339783	+05d42m02.6s	5.700733	17.55598551
334	HD 159243	c	Radial Velocity	2	17h33m21.55s	263.339783	+05d42m02.6s	5.700733	17.55598551
335	HD 159868	b	Radial Velocity	2	17h38m59.52s	264.748016	-43d08m43.9s	-43.145515	17.64986776
336	HD 159868	c	Radial Velocity	2	17h38m59.52s	264.748016	-43d08m43.9s	-43.145515	17.64986776
337	HD 1605	b	Radial Velocity	2	00h20m31.52s	5.131330	+30d58m29.3s	30.974804	0.34208864
338	HD 1605	c	Radial Velocity	2	00h20m31.52s	5.131330	+30d58m29.3s	30.974804	0.34208864
339	HD 160691	b	Radial Velocity	4	17h44m08.70s	266.036255	-51d50m02.6s	-51.834053	17.73575033
340	HD 160691	c	Radial Velocity	4	17h44m08.70s	266.036255	-51d50m02.6s	-51.834053	17.73575033
341	HD 160691	d	Radial Velocity	4	17h44m08.70s	266.036255	-51d50m02.6s	-51.834053	17.73575033
342	HD 160691	e	Radial Velocity	4	17h44m08.70s	266.036255	-51d50m02.6s	-51.834053	17.73575033
343	HD 16141	b	Radial Velocity	1	02h35m19.93s	38.833035	-03d33m38.2s	-3.560602	2.58886897
344	HD 16175	b	Radial Velocity	1	02h37m01.91s	39.257961	+42d03m45.5s	42.062634	2.61719742
345	HD 162020	b	Radial Velocity	1	17h50m38.36s	267.659821	-40d19m06.1s	-40.318348	17.84398804
346	HD 163607	b	Radial Velocity	2	17h53m40.50s	268.418732	+56d23m31.0s	56.391956	17.89458211
347	HD 163607	c	Radial Velocity	2	17h53m40.50s	268.418732	+56d23m31.0s	56.391956	17.89458211
348	HD 16417	b	Radial Velocity	1	02h36m58.61s	39.244198	-34d34m40.7s	-34.577976	2.61627986
349	HD 164509	b	Radial Velocity	1	18h01m31.23s	270.380127	+00d06m16.4s	0.104556	18.02534180
350	HD 164595	b	Radial Velocity	1	18h00m38.89s	270.162048	+29d34m18.9s	29.571922	18.01080322
351	HD 164604	b	Radial Velocity	1	18h03m06.94s	270.778900	-28d33m38.3s	-28.560644	18.05192668
352	HD 164922	b	Radial Velocity	1	18h02m30.86s	270.628601	+26d18m46.8s	26.313002	18.04190674
353	HD 1666	b	Radial Velocity	1	00h20m52.34s	5.218085	-19d55m52.4s	-19.931225	0.34787235
354	HD 166724	b	Radial Velocity	1	18h13m59.68s	273.498657	-42d34m31.3s	-42.575375	18.23324382
355	HD 167042	b	Radial Velocity	1	18h10m31.64s	272.631836	+54d17m11.6s	54.286552	18.17545573
356	HD 168443	b	Radial Velocity	2	18h20m03.93s	275.016388	-09d35m44.6s	-9.595722	18.33442586
357	HD 168443	c	Radial Velocity	2	18h20m03.93s	275.016388	-09d35m44.6s	-9.595722	18.33442586
358	HD 168746	b	Radial Velocity	1	18h21m49.78s	275.457428	-11d55m21.7s	-11.922684	18.36382853
359	HD 1690	b	Radial Velocity	1	00h21m13.32s	5.305497	-08d16m52.2s	-8.281169	0.35369978
360	HD 169830	b	Radial Velocity	2	18h27m49.48s	276.956177	-29d49m00.7s	-29.816866	18.46374512
361	HD 169830	c	Radial Velocity	2	18h27m49.48s	276.956177	-29d49m00.7s	-29.816866	18.46374512
362	HD 170469	b	Radial Velocity	1	18h29m10.98s	277.295746	+11d41m43.8s	11.695502	18.48638306
363	HD 17092	b	Radial Velocity	1	02h46m22.11s	41.592117	+49d39m11.1s	49.653076	2.77280780
364	HD 171028	b	Radial Velocity	1	18h32m15.49s	278.064527	+06d56m44.7s	6.945743	18.53763513
365	HD 171238	b	Radial Velocity	1	18h34m43.67s	278.681976	-28d04m20.3s	-28.072313	18.57879842
366	HD 17156	b	Radial Velocity	1	02h49m44.49s	42.435364	+71d45m11.6s	71.753235	2.82902425
367	HD 173416	b	Radial Velocity	1	18h43m36.11s	280.900452	+36d33m23.8s	36.556606	18.72669678
368	HD 175167	b	Radial Velocity	1	19h00m00.83s	285.003479	-69d56m39.3s	-69.944244	19.00023193
369	HD 175541	b	Radial Velocity	1	18h55m40.88s	283.920349	+04d15m55.2s	4.265325	18.92802327
370	HD 175607	b	Radial Velocity	1	19h01m05.49s	285.272858	-66d11m33.6s	-66.192680	19.01819051
371	HD 177830	b	Radial Velocity	2	19h05m20.77s	286.336548	+25d55m14.4s	25.920660	19.08910319
372	HD 177830	c	Radial Velocity	2	19h05m20.77s	286.336548	+25d55m14.4s	25.920660	19.08910319
373	HD 178911 B	b	Radial Velocity	1	19h09m03.11s	287.262939	+34d35m59.5s	34.599850	19.15086263
374	HD 179079	b	Radial Velocity	1	19h11m09.83s	287.790955	-02d38m18.2s	-2.638385	19.18606364
375	HD 179949	b	Radial Velocity	1	19h15m33.23s	288.888458	-24d10m45.7s	-24.179352	19.25923055
376	HD 180314	b	Radial Velocity	1	19h14m50.21s	288.709198	+31d51m37.3s	31.860350	19.24727987
377	HD 180902	b	Radial Velocity	1	19h19m17.71s	289.823792	-23d33m29.4s	-23.558155	19.32158610
378	HD 181342	b	Radial Velocity	1	19h21m04.23s	290.267639	-23d37m10.5s	-23.619572	19.35117594
379	HD 181433	b	Radial Velocity	3	19h25m09.57s	291.289856	-66d28m07.7s	-66.468796	19.41932373
380	HD 181433	c	Radial Velocity	3	19h25m09.57s	291.289856	-66d28m07.7s	-66.468796	19.41932373
381	HD 181433	d	Radial Velocity	3	19h25m09.57s	291.289856	-66d28m07.7s	-66.468796	19.41932373
382	HD 181720	b	Radial Velocity	1	19h22m52.98s	290.720764	-32d55m08.6s	-32.919056	19.38138428
383	HD 183263	b	Radial Velocity	2	19h28m24.57s	292.102386	+08d21m29.0s	8.358054	19.47349243
384	HD 183263	c	Radial Velocity	2	19h28m24.57s	292.102386	+08d21m29.0s	8.358054	19.47349243
385	HD 185269	b	Radial Velocity	1	19h37m11.74s	294.298920	+28d29m59.5s	28.499865	19.61992798
386	HD 187085	b	Radial Velocity	1	19h49m33.97s	297.391541	-37d46m50.0s	-37.780552	19.82610270
387	HD 187123	b	Radial Velocity	2	19h46m58.11s	296.742126	+34d25m10.3s	34.419525	19.78280843
388	HD 187123	c	Radial Velocity	2	19h46m58.11s	296.742126	+34d25m10.3s	34.419525	19.78280843
389	HD 18742	b	Radial Velocity	1	03h00m10.66s	45.044407	-20d48m09.4s	-20.802603	3.00296046
390	HD 188015	b	Radial Velocity	1	19h52m04.54s	298.018921	+28d06m01.4s	28.100376	19.86792806
391	HD 189733	b	Radial Velocity	1	20h00m43.71s	300.182129	+22d42m39.1s	22.710854	20.01214193
392	HD 190360	b	Radial Velocity	2	20h03m37.40s	300.905853	+29d53m48.5s	29.896805	20.06039022
393	HD 190360	c	Radial Velocity	2	20h03m37.40s	300.905853	+29d53m48.5s	29.896805	20.06039022
394	HD 190647	b	Radial Velocity	1	20h07m19.67s	301.831970	-35d32m19.1s	-35.538631	20.12213135
395	HD 190984	b	Radial Velocity	1	20h11m30.72s	302.877991	-64d37m13.7s	-64.620468	20.19186605
396	HD 192263	b	Radial Velocity	1	20h13m59.85s	303.499359	-00d52m00.8s	-0.866877	20.23329061
397	HD 192310	b	Radial Velocity	2	20h15m17.39s	303.822449	-27d01m58.7s	-27.032976	20.25482992
398	HD 192310	c	Radial Velocity	2	20h15m17.39s	303.822449	-27d01m58.7s	-27.032976	20.25482992
399	HD 192699	b	Radial Velocity	1	20h16m06.01s	304.025024	+04d34m50.9s	4.580795	20.26833496
400	HD 195019	b	Radial Velocity	1	20h28m18.63s	307.077637	+18d46m10.2s	18.769497	20.47184245
401	HD 196050	b	Radial Velocity	1	20h37m51.71s	309.465454	-60d38m04.1s	-60.634483	20.63103027
402	HD 196067	b	Radial Velocity	1	20h41m44.09s	310.433716	-75d21m02.9s	-75.350800	20.69558105
403	HD 196885	b	Radial Velocity	1	20h39m51.88s	309.966156	+11d14m58.7s	11.249649	20.66441040
404	HD 197037	b	Radial Velocity	1	20h39m32.96s	309.887329	+42d14m54.8s	42.248550	20.65915527
405	HD 19994	b	Radial Velocity	1	03h12m46.44s	48.193485	-01d11m46.0s	-1.196101	3.21289902
406	HD 200964	b	Radial Velocity	2	21h06m39.84s	316.666016	+03d48m11.2s	3.803119	21.11106771
407	HD 200964	c	Radial Velocity	2	21h06m39.84s	316.666016	+03d48m11.2s	3.803119	21.11106771
408	HD 202206	b	Radial Velocity	2	21h14m57.77s	318.740692	-20d47m21.2s	-20.789209	21.24937948
409	HD 202206	c	Radial Velocity	2	21h14m57.77s	318.740692	-20d47m21.2s	-20.789209	21.24937948
410	HD 203030	b	Imaging	1	21h18m58.22s	319.742584	+26d13m50.0s	26.230545	21.31617228
411	HD 2039	b	Radial Velocity	1	00h24m20.28s	6.084491	-56d39m00.2s	-56.650047	0.40563272
412	HD 204313	b	Radial Velocity	2	21h28m12.21s	322.050873	-21d43m34.5s	-21.726255	21.47005819
413	HD 204313	c	Radial Velocity	2	21h28m12.21s	322.050873	-21d43m34.5s	-21.726255	21.47005819
414	HD 204941	b	Radial Velocity	1	21h32m23.51s	323.097961	-20d57m26.7s	-20.957422	21.53986410
415	HD 205739	b	Radial Velocity	1	21h38m08.41s	324.535034	-31d44m14.9s	-31.737484	21.63566895
416	HD 206610	b	Radial Velocity	1	21h43m24.90s	325.853760	-07d24m29.7s	-7.408253	21.72358398
417	HD 20782	b	Radial Velocity	1	03h20m03.58s	50.014908	-28d51m14.7s	-28.854071	3.33432719
418	HD 207832	b	Radial Velocity	2	21h52m36.28s	328.151184	-26d01m35.6s	-26.026560	21.87674561
419	HD 207832	c	Radial Velocity	2	21h52m36.28s	328.151184	-26d01m35.6s	-26.026560	21.87674561
420	HD 20794	b	Radial Velocity	3	03h19m55.65s	49.981876	-43d04m11.2s	-43.069782	3.33212509
421	HD 20794	c	Radial Velocity	3	03h19m55.65s	49.981876	-43d04m11.2s	-43.069782	3.33212509
422	HD 20794	d	Radial Velocity	3	03h19m55.65s	49.981876	-43d04m11.2s	-43.069782	3.33212509
423	HD 208487	b	Radial Velocity	1	21h57m19.85s	329.332703	-37d45m49.0s	-37.763622	21.95551351
424	HD 208527	b	Radial Velocity	1	21h56m23.99s	329.099945	+21d14m23.5s	21.239859	21.93999634
425	HD 20868	b	Radial Velocity	1	03h20m42.69s	50.177895	-33d43m48.4s	-33.730103	3.34519297
426	HD 209458	b	Radial Velocity	1	22h03m10.77s	330.794891	+18d53m03.5s	18.884319	22.05299276
427	HD 210277	b	Radial Velocity	1	22h09m29.87s	332.374451	-07d32m55.2s	-7.548654	22.15829671
428	HD 210702	b	Radial Velocity	1	22h11m51.33s	332.963867	+16d02m26.0s	16.040550	22.19759115
429	HD 212301	b	Radial Velocity	1	22h27m30.92s	336.878845	-77d43m04.5s	-77.717926	22.45858968
430	HD 212771	b	Radial Velocity	1	22h27m03.07s	336.762787	-17d15m49.2s	-17.263659	22.45085246
431	HD 213240	b	Radial Velocity	1	22h31m00.37s	337.751526	-49d25m59.8s	-49.433270	22.51676839
432	HD 215497	b	Radial Velocity	2	22h46m36.75s	341.653137	-56d35m58.3s	-56.599533	22.77687581
433	HD 215497	c	Radial Velocity	2	22h46m36.75s	341.653137	-56d35m58.3s	-56.599533	22.77687581
434	HD 216435	b	Radial Velocity	1	22h53m37.93s	343.408051	-48d35m53.8s	-48.598286	22.89387004
435	HD 216437	b	Radial Velocity	1	22h54m39.48s	343.664520	-70d04m25.3s	-70.073708	22.91096802
436	HD 216536	b	Radial Velocity	1	22h53m03.98s	343.266598	+44d28m39.9s	44.477753	22.88443987
437	HD 216770	b	Radial Velocity	1	22h55m53.71s	343.973785	-26d39m31.5s	-26.658764	22.93158569
438	HD 217107	b	Radial Velocity	2	22h58m15.54s	344.564758	-02d23m43.4s	-2.395385	22.97098389
439	HD 217107	c	Radial Velocity	2	22h58m15.54s	344.564758	-02d23m43.4s	-2.395385	22.97098389
440	HD 217786	b	Radial Velocity	1	23h03m08.20s	345.784180	-00d25m46.6s	-0.429622	23.05227865
441	HD 218566	b	Radial Velocity	1	23h09m10.73s	347.294708	-02d15m38.7s	-2.260742	23.15298055
442	HD 219077	b	Radial Velocity	1	23h14m06.58s	348.527435	-62d42m00.0s	-62.700005	23.23516235
443	HD 219134	b	Radial Velocity	6	23h13m16.98s	348.320740	+57d10m06.1s	57.168354	23.22138265
444	HD 219134	c	Radial Velocity	6	23h13m16.98s	348.320740	+57d10m06.1s	57.168354	23.22138265
445	HD 219134	d	Radial Velocity	6	23h13m16.98s	348.320740	+57d10m06.1s	57.168354	23.22138265
446	HD 219134	f	Radial Velocity	6	23h13m16.98s	348.320740	+57d10m06.1s	57.168354	23.22138265
447	HD 219134	g	Radial Velocity	6	23h13m16.98s	348.320740	+57d10m06.1s	57.168354	23.22138265
448	HD 219134	h	Radial Velocity	6	23h13m16.98s	348.320740	+57d10m06.1s	57.168354	23.22138265
449	HD 219415	b	Radial Velocity	1	23h14m53.83s	348.724278	+56d43m49.2s	56.730328	23.24828520
450	HD 219828	b	Radial Velocity	1	23h18m46.74s	349.694733	+18d38m44.6s	18.645720	23.31298218
451	HD 220074	b	Radial Velocity	1	23h20m14.38s	350.059906	+61d58m12.5s	61.970127	23.33732707
452	HD 220689	b	Radial Velocity	1	23h25m52.99s	351.470795	-20d36m57.7s	-20.616030	23.43138631
453	HD 220773	b	Radial Velocity	1	23h26m27.44s	351.614349	+08d38m37.8s	8.643845	23.44095662
454	HD 220842	b	Radial Velocity	1	23h26m36.99s	351.654114	+56d53m11.5s	56.886528	23.44360758
455	HD 221287	b	Radial Velocity	1	23h31m20.34s	352.834747	-58d12m35.0s	-58.209732	23.52231649
456	HD 222155	b	Radial Velocity	1	23h38m00.31s	354.501282	+48d59m47.5s	48.996521	23.63341878
457	HD 222582	b	Radial Velocity	1	23h41m51.53s	355.464722	-05d59m08.7s	-5.985757	23.69764811
458	HD 224693	b	Radial Velocity	1	23h59m53.83s	359.974304	-22d25m41.2s	-22.428114	23.99828695
459	HD 22781	b	Radial Velocity	1	03h40m49.53s	55.206356	+31d49m34.6s	31.826290	3.68042374
460	HD 23079	b	Radial Velocity	1	03h39m43.09s	54.929562	-52d54m57.0s	-52.915836	3.66197077
461	HD 23127	b	Radial Velocity	1	03h39m23.64s	54.848495	-60d04m40.2s	-60.077843	3.65656637
462	HD 231701	b	Radial Velocity	1	19h32m04.16s	293.017334	+16d28m27.4s	16.474291	19.53448893
463	HD 233604	b	Radial Velocity	1	09h09m48.81s	137.453380	+53d34m05.6s	53.568230	9.16355867
464	HD 23596	b	Radial Velocity	1	03h48m00.37s	57.001556	+40d31m50.3s	40.530636	3.80010376
465	HD 240210	b	Radial Velocity	1	23h10m29.23s	347.621792	+57d01m46.0s	57.029456	23.17478611
466	HD 240237	b	Radial Velocity	1	23h15m42.22s	348.925934	+58d02m35.7s	58.043240	23.26172892
467	HD 24040	b	Radial Velocity	1	03h50m22.97s	57.595699	+17d28m34.9s	17.476366	3.83971329
468	HD 24064	b	Radial Velocity	1	03h56m36.30s	59.151241	+74d04m48.1s	74.080032	3.94341609
469	HD 25171	b	Radial Velocity	1	03h55m49.44s	58.956001	-65d11m12.0s	-65.186676	3.93040009
470	HD 2638	b	Radial Velocity	1	00h29m59.87s	7.499466	-05d45m50.4s	-5.764002	0.49996443
471	HD 27442	b	Radial Velocity	1	04h16m29.03s	64.120956	-59d18m07.8s	-59.302155	4.27473043
472	HD 27631	b	Radial Velocity	1	04h19m45.47s	64.939461	-41d57m37.0s	-41.960266	4.32929738
473	HD 27894	b	Radial Velocity	1	04h20m47.05s	65.196030	-59d24m39.0s	-59.410835	4.34640198
474	HD 28185	b	Radial Velocity	1	04h26m26.32s	66.609673	-10d33m03.0s	-10.550821	4.44064484
475	HD 28254	b	Radial Velocity	1	04h24m50.71s	66.211273	-50d37m19.9s	-50.622192	4.41408488
476	HD 285507	b	Radial Velocity	1	04h07m01.22s	61.755104	+15d20m06.1s	15.335032	4.11700694
477	HD 285968	b	Radial Velocity	1	04h42m55.78s	70.732407	+18d57m29.4s	18.958172	4.71549377
478	HD 28678	b	Radial Velocity	1	04h31m25.45s	67.856056	+04d34m31.0s	4.575287	4.52373708
479	HD 290327	b	Radial Velocity	1	05h23m21.56s	80.839851	-02d16m39.4s	-2.277619	5.38932343
480	HD 2952	b	Radial Velocity	1	00h33m10.39s	8.293311	+54d53m41.9s	54.894985	0.55288741
481	HD 30177	b	Radial Velocity	1	04h41m54.37s	70.476555	-58d01m14.7s	-58.020756	4.69843699
482	HD 30562	b	Radial Velocity	1	04h48m36.38s	72.151604	-05d40m26.6s	-5.674045	4.81010691
483	HD 30669	b	Radial Velocity	1	04h48m28.49s	72.118690	-28d25m09.5s	-28.419298	4.80791270
484	HD 30856	b	Radial Velocity	1	04h50m17.86s	72.574425	-24d22m07.8s	-24.368839	4.83829498
485	HD 31253	b	Radial Velocity	1	04h54m43.65s	73.681892	+12d21m07.9s	12.352201	4.91212616
486	HD 32518	b	Radial Velocity	1	05h09m36.72s	77.403000	+69d38m21.9s	69.639404	5.16019999
487	HD 32963	b	Radial Velocity	1	05h07m55.76s	76.982353	+26d19m40.7s	26.327963	5.13215688
488	HD 330075	b	Radial Velocity	1	15h49m37.69s	237.407043	-49d57m48.7s	-49.963524	15.82713623
489	HD 33142	b	Radial Velocity	1	05h07m35.54s	76.898087	-13d59m11.3s	-13.986480	5.12653910
